route,start_stop_code_lbsl,end_stop_code_lbsl
N381,36774,36767
N381,36767,36768
N381,36768,36769
N381,36769,36770
N381,36770,36887
N381,36887,26477
N381,26477,35900
N381,35900,25927
N381,25927,25929
N381,25929,BP2447
N381,BP2447,33850
N381,33850,33905
N381,33905,33906
N381,33906,33510
N381,33510,34079
N381,34079,33601
N381,33601,2197
N381,2197,8317
N381,8317,1518
N381,1518,34347
N381,34347,25939
N381,25939,25941
N381,25941,227
N381,227,8303
N381,8303,1837
N381,1837,33432
N381,33432,4744
N381,4744,26487
N381,26487,996
N381,996,7867
37,37168,33441
37,33441,13781
37,13781,1726
37,1726,34784
37,34784,13750
37,13750,13749
37,13749,26089
37,26089,BP4841
37,BP4841,1431
37,1431,13411
37,13411,R0883
37,R0883,646
37,646,13406
37,13406,13403
37,13403,719
37,719,437
37,437,13250
37,13250,3038
37,3038,26342
37,26342,13246
37,13246,BP4246
37,BP4246,240
37,240,12833
37,12833,12831
37,12831,12766
37,12766,1089
37,1089,25990
37,25990,9367
37,9367,9366
37,9366,1641
37,1641,12847
37,12847,33091
37,33091,12843
37,12843,1412
37,1412,1414
37,1414,25566
37,25566,8973
37,8973,8969
37,8969,8967
37,8967,596
37,596,8961
37,8961,17143
37,17143,8858
37,8858,2366
37,2366,2368
37,2368,2370
37,2370,2372
37,2372,4858
37,4858,17603
37,17603,BP4991
655,R0675,18660
655,18660,18662
655,18662,18664
655,18664,18666
655,18666,LG06
655,LG06,33644
655,33644,LG03
655,LG03,18674
655,18674,341
655,341,25450
655,25450,18676
655,18676,18678
655,18678,18680
655,18680,1806
655,1806,18682
655,18682,19100
655,19100,27916
655,27916,18686
655,18686,18688
130,BP2445,BP2012
130,BP2012,BP2516
130,BP2516,BP2013
130,BP2013,BP2014
130,BP2014,BP5125
130,BP5125,25761
130,25761,BP2519
130,BP2519,BP2520
130,BP2520,BP2521
130,BP2521,27759
130,27759,27757
130,27757,27755
130,27755,33672
130,33672,33667
130,33667,33668
130,33668,33666
130,33666,33663
130,33663,BP4425
130,BP4425,33660
130,33660,BP2327
130,BP2327,19797
130,19797,19795
130,19795,26879
130,26879,19793
130,19793,19791
130,19791,19789
130,19789,19786
130,19786,19784
130,19784,20696
130,20696,18808
130,18808,18806
130,18806,19800
130,19800,17340
130,17340,9812
130,9812,17342
130,17342,17344
130,17344,27837
130,27837,1846
130,1846,1847
130,1847,17857
130,17857,9808
130,9808,17856
130,17856,17854
130,17854,17852
130,17852,17334
130,17334,17333
130,17333,17331
130,17331,34973
648,18416,25471
648,25471,18414
648,18414,25109
648,25109,18412
648,18412,18410
648,18410,18408
648,18408,25140
648,25140,BP3482
648,BP3482,34165
648,34165,25141
648,25141,18033
648,18033,9766
648,9766,8524
648,8524,20421
648,20421,8528
648,8528,9768
648,9768,18422
648,18422,18031
648,18031,12905
648,12905,9772
648,9772,37152
648,37152,37089
648,37089,18029
648,18029,R0760
648,R0760,34120
648,34120,34118
353,BP1248,BP1249
353,BP1249,40176
353,40176,BP1250
353,BP1250,BP1253
353,BP1253,BP1254
353,BP1254,BP1255
353,BP1255,35743
353,35743,12444
353,12444,12442
353,12442,12240
353,12240,13953
353,13953,18951
353,18951,18949
353,18949,20133
